ID,Date,Location_ID,Hydrologic,Parameter,Fraction,Value,Units,Method_name,Method_source
nwismd.01.02000617,3/17/2020,USGS-01646580,"Stable, low stage","Temperature, water",,10.7,deg C,"Temperature, water, thermistor","USGS National Field Manual, Chapter A6.1"
nwismd.01.02000617,3/17/2020,USGS-01646580,"Stable, low stage",pH,Total,8.1,std units,"pH, field, electrometric","USGS National Field Manual, Chapter A6.4"
nwismd.01.02000617,3/17/2020,USGS-01646580,"Stable, low stage",pH,Total,8.3,std units,"pH, lab, auto glass electrode","USGS TWRI 5-A1/1989, p 363"
nwismd.01.02000617,3/17/2020,USGS-01646580,"Stable, low stage",Carbon dioxide,Total,1.3,mg/l,Computation by NWIS algorithm,"NWIS User's Manual, QW System, Section 3.6.7"
nwismd.01.02000617,3/17/2020,USGS-01646580,"Stable, low stage",Bicarbonate,Dissolved,113,mg/l,"Alkalinity, IPT, Hach, ASM","Rounds, 2007, Alkalinity calculation methods"
nwismd.01.02000617,3/17/2020,USGS-01646580,"Stable, low stage","Hardness, Ca, Mg",,129,mg/l CaCO3,Computation by NWIS algorithm,"NWIS User's Manual, QW System, Section 3.6.7"
nwismd.01.02000617,3/17/2020,USGS-01646580,"Stable, low stage",Calcium,Dissolved,36.8,mg/l,"Metals, wf, ICP-AES (NWQL)","USGS OF 93-125, p 101"
nwismd.01.02000617,3/17/2020,USGS-01646580,"Stable, low stage",Magnesium,Dissolved,8.98,mg/l,"Metals, wf, ICP-AES (NWQL)","USGS OF 93-125, p 101"
nwismd.01.02000617,3/17/2020,USGS-01646580,"Stable, low stage",Sodium,Dissolved,10.8,mg/l,"Metals, wf, ICP-AES (NWQL)","USGS OF 93-125, p 101"
nwismd.01.02000617,3/17/2020,USGS-01646580,"Stable, low stage",Potassium,Dissolved,1.99,mg/l,"Potassium, wf, by ICP-OES",Standard Methods
