OrgID,OrgName,ActivityType,ActivityMedia,StartDate,StartTime,LocationID,HydrologicCondition,HydrologicEvent,lat,lon,CollectionEquipment,Result Name,ResultType,ResultValue,ResultUnit
USGS-MD,USGS Maryland Water Science Center,Sample-Routine,Surface Water,5/4/2000,12:15:00,USGS-01591000,"Stable, normal stage",Routine sample,,,Other,Oxygen,Dissolved,8.1,mg/l
USGS-MD,USGS Maryland Water Science Center,Sample-Routine,Surface Water,5/4/2000,12:15:00,USGS-01591000,"Stable, normal stage",Routine sample,,,Other,Oxygen,Dissolved,82,% saturatn
USGS-MD,USGS Maryland Water Science Center,Sample-Routine,Surface Water,5/4/2000,12:15:00,USGS-01591000,"Stable, normal stage",Routine sample,,,Other,Carbon dioxide,Total,3.2,mg/l
USGS-MD,USGS Maryland Water Science Center,Sample-Routine,Surface Water,5/4/2000,12:15:00,USGS-01591000,"Stable, normal stage",Routine sample,,,Other,Silica,Dissolved,6.44,mg/l
USGS-MD,USGS Maryland Water Science Center,Sample-Routine,Surface Water,4/20/2000,8:00:00,USGS-01591000,"Stable, high stage",Routine sample,,,Other,Oxygen,Dissolved,8.9,mg/l
USGS-MD,USGS Maryland Water Science Center,Sample-Routine,Surface Water,4/20/2000,8:00:00,USGS-01591000,"Stable, high stage",Routine sample,,,Other,Oxygen,Dissolved,81,% saturatn
USGS-MD,USGS Maryland Water Science Center,Sample-Routine,Surface Water,4/20/2000,8:00:00,USGS-01591000,"Stable, high stage",Routine sample,,,Other,Silica,Dissolved,7.42,mg/l
USGS-MD,USGS Maryland Water Science Center,Sample-Routine,Surface Water,1/13/2000,9:30:00,USGS-01591000,"Stable, normal stage",Routine sample,,,Unknown,Oxygen,Dissolved,12.6,mg/l
USGS-MD,USGS Maryland Water Science Center,Sample-Routine,Surface Water,1/13/2000,9:30:00,USGS-01591000,"Stable, normal stage",Routine sample,,,Unknown,Oxygen,Dissolved,96,% saturatn
USGS-MD,USGS Maryland Water Science Center,Sample-Routine,Surface Water,1/13/2000,9:30:00,USGS-01591000,"Stable, normal stage",Routine sample,,,Unknown,Carbon dioxide,Total,5,mg/l
USGS-MD,USGS Maryland Water Science Center,Sample-Routine,Surface Water,1/13/2000,9:30:00,USGS-01591000,"Stable, normal stage",Routine sample,,,Unknown,Silica,Dissolved,9.09,mg/l
USGS-MD,USGS Maryland Water Science Center,Sample-Routine,Surface Water,12/6/2000,14:15:00,USGS-01591000,"Stable, normal stage",Routine sample,,,Other,Oxygen,Dissolved,14.3,mg/l
USGS-MD,USGS Maryland Water Science Center,Sample-Routine,Surface Water,12/6/2000,14:15:00,USGS-01591000,"Stable, normal stage",Routine sample,,,Other,Silica,Dissolved,8.55,mg/l
USGS-MD,USGS Maryland Water Science Center,Sample-Routine,Surface Water,2/15/2000,14:30:00,USGS-01591000,Not determined,Snowmelt,,,Other,Oxygen,Dissolved,12.9,mg/l
USGS-MD,USGS Maryland Water Science Center,Sample-Routine,Surface Water,2/15/2000,14:30:00,USGS-01591000,Not determined,Snowmelt,,,Other,Oxygen,Dissolved,100,% saturatn
USGS-MD,USGS Maryland Water Science Center,Sample-Routine,Surface Water,2/15/2000,14:30:00,USGS-01591000,Not determined,Snowmelt,,,Other,Silica,Dissolved,7.27,mg/l
USGS-MD,USGS Maryland Water Science Center,Sample-Routine,Surface Water,9/13/2000,10:30:00,USGS-01591000,"Stable, normal stage",Routine sample,,,Other,Oxygen,Dissolved,8.7,mg/l
USGS-MD,USGS Maryland Water Science Center,Sample-Routine,Surface Water,9/13/2000,10:30:00,USGS-01591000,"Stable, normal stage",Routine sample,,,Other,Oxygen,Dissolved,96,% saturatn
USGS-MD,USGS Maryland Water Science Center,Sample-Routine,Surface Water,9/13/2000,10:30:00,USGS-01591000,"Stable, normal stage",Routine sample,,,Other,Carbon dioxide,Total,9,mg/l
USGS-MD,USGS Maryland Water Science Center,Sample-Routine,Surface Water,9/13/2000,10:30:00,USGS-01591000,"Stable, normal stage",Routine sample,,,Other,Silica,Dissolved,9.02,mg/l
USGS-MD,USGS Maryland Water Science Center,Sample-Routine,Surface Water,6/28/2000,10:00:00,USGS-01591000,"Stable, normal stage",Routine sample,,,Unknown,Carbon dioxide,Total,5.7,mg/l
USGS-MD,USGS Maryland Water Science Center,Sample-Routine,Surface Water,6/28/2000,10:00:00,USGS-01591000,"Stable, normal stage",Routine sample,,,Unknown,Silica,Dissolved,9.71,mg/l
USGS-MD,USGS Maryland Water Science Center,Sample-Routine,Surface Water,11/2/2000,12:45:00,USGS-01591000,"Stable, normal stage",Routine sample,,,Other,Oxygen,Dissolved,11.6,mg/l
USGS-MD,USGS Maryland Water Science Center,Sample-Routine,Surface Water,11/2/2000,12:45:00,USGS-01591000,"Stable, normal stage",Routine sample,,,Other,Silica,Dissolved,8.83,mg/l
USGS-MD,USGS Maryland Water Science Center,Quality Control Sample-Field Replicate,Surface Water,10/17/2000,10:45:00,USGS-01591000,"Stable, normal stage",Routine sample,,,Other,Oxygen,Dissolved,10,mg/l
USGS-MD,USGS Maryland Water Science Center,Quality Control Sample-Field Replicate,Surface Water,10/17/2000,10:45:00,USGS-01591000,"Stable, normal stage",Routine sample,,,Other,Silica,Dissolved,8.66,mg/l
USGS-MD,USGS Maryland Water Science Center,Sample-Routine,Surface Water,3/29/2000,10:15:00,USGS-01591000,"Stable, normal stage",Routine sample,,,Other,Oxygen,Dissolved,11.2,mg/l
USGS-MD,USGS Maryland Water Science Center,Sample-Routine,Surface Water,3/29/2000,10:15:00,USGS-01591000,"Stable, normal stage",Routine sample,,,Other,Oxygen,Dissolved,96,% saturatn
USGS-MD,USGS Maryland Water Science Center,Sample-Routine,Surface Water,3/29/2000,10:15:00,USGS-01591000,"Stable, normal stage",Routine sample,,,Other,Carbon dioxide,Total,7.4,mg/l
USGS-MD,USGS Maryland Water Science Center,Sample-Routine,Surface Water,3/29/2000,10:15:00,USGS-01591000,"Stable, normal stage",Routine sample,,,Other,Silica,Dissolved,7.51,mg/l
USGS-MD,USGS Maryland Water Science Center,Sample-Routine,Surface Water,7/13/2000,11:45:00,USGS-01591000,Not determined,Routine sample,,,Other,Carbon dioxide,Total,9.8,mg/l
USGS-MD,USGS Maryland Water Science Center,Sample-Routine,Surface Water,7/13/2000,11:45:00,USGS-01591000,Not determined,Routine sample,,,Other,Silica,Dissolved,9.47,mg/l
USGS-MD,USGS Maryland Water Science Center,Sample-Routine,Surface Water,8/8/2001,12:00:00,USGS-01645300,"Stable, low stage",Routine sample,,,Weighted-bottle sampler,Oxygen,Dissolved,8.8,mg/l
USGS-MD,USGS Maryland Water Science Center,Sample-Routine,Surface Water,8/8/2001,12:00:00,USGS-01645300,"Stable, low stage",Routine sample,,,Weighted-bottle sampler,Oxygen,Dissolved,120,% saturatn
USGS-MD,USGS Maryland Water Science Center,Sample-Routine,Surface Water,8/8/2001,12:00:00,USGS-01645300,"Stable, low stage",Routine sample,,,Weighted-bottle sampler,Carbon dioxide,Total,0.9,mg/l
USGS-MD,USGS Maryland Water Science Center,Sample-Routine,Surface Water,8/8/2001,12:00:00,USGS-01645300,"Stable, low stage",Routine sample,,,Weighted-bottle sampler,Bicarbonate,Dissolved,80,mg/l
USGS-MD,USGS Maryland Water Science Center,Quality Control Sample-Field Replicate,Surface Water,9/26/2001,10:15:00,USGS-01591000,Falling stage,Routine sample,,,Other,Oxygen,Dissolved,96.7,mg/l
USGS-MD,USGS Maryland Water Science Center,Quality Control Sample-Field Replicate,Surface Water,9/26/2001,10:15:00,USGS-01591000,Falling stage,Routine sample,,,Other,Silica,Dissolved,7.91,mg/l
USGS-MD,USGS Maryland Water Science Center,Quality Control Sample-Field Replicate,Surface Water,6/26/2001,10:30:00,USGS-01591000,"Stable, normal stage",Routine sample,,,Other,Oxygen,Dissolved,10.9,mg/l
USGS-MD,USGS Maryland Water Science Center,Quality Control Sample-Field Replicate,Surface Water,6/26/2001,10:30:00,USGS-01591000,"Stable, normal stage",Routine sample,,,Other,Silica,Dissolved,9.07,mg/l
USGS-MD,USGS Maryland Water Science Center,Quality Control Sample-Field Replicate,Surface Water,8/23/2001,13:15:00,USGS-01591000,"Stable, normal stage",Routine sample,,,Other,Oxygen,Dissolved,8.6,mg/l
USGS-MD,USGS Maryland Water Science Center,Quality Control Sample-Field Replicate,Surface Water,8/23/2001,13:15:00,USGS-01591000,"Stable, normal stage",Routine sample,,,Other,Silica,Dissolved,7.7,mg/l
USGS-MD,USGS Maryland Water Science Center,Sample-Routine,Surface Water,3/29/2001,11:45:00,USGS-01591000,"Stable, normal stage",Routine sample,,,Other,Oxygen,Dissolved,13.2,mg/l
USGS-MD,USGS Maryland Water Science Center,Sample-Routine,Surface Water,3/29/2001,11:45:00,USGS-01591000,"Stable, normal stage",Routine sample,,,Other,Oxygen,Dissolved,103,% saturatn
USGS-MD,USGS Maryland Water Science Center,Sample-Routine,Surface Water,3/29/2001,11:45:00,USGS-01591000,"Stable, normal stage",Routine sample,,,Other,Silica,Dissolved,7.17,mg/l
USGS-MD,USGS Maryland Water Science Center,Sample-Routine,Surface Water,2/21/2001,12:00:00,USGS-01591000,"Stable, normal stage",Routine sample,,,Other,Silica,Dissolved,3.71,mg/l
USGS-MD,USGS Maryland Water Science Center,Quality Control Sample-Field Replicate,Surface Water,4/26/2001,11:45:00,USGS-01591000,"Stable, normal stage",Routine sample,,,Other,Silica,Dissolved,7.06,mg/l
USGS-MD,USGS Maryland Water Science Center,Quality Control Sample-Field Replicate,Surface Water,7/23/2001,10:00:00,USGS-01591000,"Stable, normal stage",Routine sample,,,Other,Oxygen,Dissolved,10.1,mg/l
USGS-MD,USGS Maryland Water Science Center,Quality Control Sample-Field Replicate,Surface Water,7/23/2001,10:00:00,USGS-01591000,"Stable, normal stage",Routine sample,,,Other,Silica,Dissolved,8.51,mg/l
USGS-MD,USGS Maryland Water Science Center,Sample-Routine,Surface Water,5/22/2001,10:15:00,USGS-01591000,"Stable, normal stage",Routine sample,,,Other,Oxygen,Dissolved,9.8,mg/l
USGS-MD,USGS Maryland Water Science Center,Sample-Routine,Surface Water,5/22/2001,10:15:00,USGS-01591000,"Stable, normal stage",Routine sample,,,Other,Oxygen,Dissolved,97,% saturatn
USGS-MD,USGS Maryland Water Science Center,Sample-Routine,Surface Water,5/22/2001,10:15:00,USGS-01591000,"Stable, normal stage",Routine sample,,,Other,Silica,Dissolved,7.96,mg/l
USGS-MD,USGS Maryland Water Science Center,Sample-Routine,Surface Water,6/18/2002,11:30:00,USGS-01645295,"Stable, normal stage",Routine sample,,,Other,Inorganic carbon,Suspended,,
USGS-MD,USGS Maryland Water Science Center,Sample-Routine,Surface Water,6/18/2002,11:30:00,USGS-01645295,"Stable, normal stage",Routine sample,,,Other,Carbon,Suspended,0.39,mg/l
USGS-MD,USGS Maryland Water Science Center,Sample-Routine,Surface Water,8/4/2004,4:42:00,USGS-01591000,"Stable, normal stage",Routine sample,,,US DH-81 with Teflon cap and nozzle,Oxygen,Dissolved,8.6,mg/l
USGS-MD,USGS Maryland Water Science Center,Sample-Routine,Surface Water,8/4/2004,4:42:00,USGS-01591000,"Stable, normal stage",Routine sample,,,US DH-81 with Teflon cap and nozzle,Oxygen,Dissolved,102,% saturatn
USGS-MD,USGS Maryland Water Science Center,Sample-Routine,Surface Water,8/8/2006,9:30:00,USGS-01646568,Not determined,Routine sample,,,Peristaltic pump,Oxygen,Dissolved,6.6,mg/l
USGS-MD,USGS Maryland Water Science Center,Sample-Routine,Surface Water,8/8/2006,9:30:00,USGS-01646568,Not determined,Routine sample,,,Peristaltic pump,Oxygen,Dissolved,79,% saturatn
USGS-MD,USGS Maryland Water Science Center,Sample-Routine,Surface Water,8/8/2006,9:30:00,USGS-01646568,Not determined,Routine sample,,,Peristaltic pump,Carbon dioxide,Total,5.7,mg/l
USGS-MD,USGS Maryland Water Science Center,Sample-Routine,Surface Water,8/8/2006,9:30:00,USGS-01646568,Not determined,Routine sample,,,Peristaltic pump,Bicarbonate,Dissolved,108,mg/l
USGS-MD,USGS Maryland Water Science Center,Sample-Routine,Surface Water,8/8/2006,9:30:00,USGS-01646568,Not determined,Routine sample,,,Peristaltic pump,Chloride,Dissolved,99.4,mg/l
USGS-MD,USGS Maryland Water Science Center,Sample-Routine,Surface Water,8/8/2006,9:30:00,USGS-01646568,Not determined,Routine sample,,,Peristaltic pump,Sulfate,Dissolved,47.9,mg/l
USGS-MD,USGS Maryland Water Science Center,Sample-Routine,Surface Water,8/8/2006,9:30:00,USGS-01646568,Not determined,Routine sample,,,Peristaltic pump,Fluoride,Dissolved,0.37,mg/l
USGS-MD,USGS Maryland Water Science Center,Sample-Routine,Surface Water,8/8/2006,9:30:00,USGS-01646568,Not determined,Routine sample,,,Peristaltic pump,Silica,Dissolved,20.1,mg/l
USGS-MD,USGS Maryland Water Science Center,Sample-Routine,Surface Water,8/8/2006,8:00:00,USGS-01646569,Not determined,Routine sample,,,Peristaltic pump,Oxygen,Dissolved,8.3,mg/l
USGS-MD,USGS Maryland Water Science Center,Sample-Routine,Surface Water,8/8/2006,8:00:00,USGS-01646569,Not determined,Routine sample,,,Peristaltic pump,Carbon dioxide,Total,2.8,mg/l
USGS-MD,USGS Maryland Water Science Center,Sample-Routine,Surface Water,8/8/2006,8:00:00,USGS-01646569,Not determined,Routine sample,,,Peristaltic pump,Bicarbonate,Dissolved,95,mg/l
USGS-MD,USGS Maryland Water Science Center,Sample-Routine,Surface Water,8/8/2006,8:00:00,USGS-01646569,Not determined,Routine sample,,,Peristaltic pump,Chloride,Dissolved,96.2,mg/l
USGS-MD,USGS Maryland Water Science Center,Sample-Routine,Surface Water,8/8/2006,8:00:00,USGS-01646569,Not determined,Routine sample,,,Peristaltic pump,Sulfate,Dissolved,48.3,mg/l
USGS-MD,USGS Maryland Water Science Center,Sample-Routine,Surface Water,8/8/2006,8:00:00,USGS-01646569,Not determined,Routine sample,,,Peristaltic pump,Fluoride,Dissolved,0.4,mg/l
USGS-MD,USGS Maryland Water Science Center,Sample-Routine,Surface Water,8/8/2006,8:00:00,USGS-01646569,Not determined,Routine sample,,,Peristaltic pump,Silica,Dissolved,19.2,mg/l
USGS-MD,USGS Maryland Water Science Center,Sample-Routine,Surface Water,8/8/2006,10:45:00,USGS-01646567,Not determined,Routine sample,,,Peristaltic pump,Oxygen,Dissolved,6.9,mg/l
USGS-MD,USGS Maryland Water Science Center,Sample-Routine,Surface Water,8/8/2006,10:45:00,USGS-01646567,Not determined,Routine sample,,,Peristaltic pump,Oxygen,Dissolved,83,% saturatn
USGS-MD,USGS Maryland Water Science Center,Sample-Routine,Surface Water,8/8/2006,10:45:00,USGS-01646567,Not determined,Routine sample,,,Peristaltic pump,Carbon dioxide,Total,3.2,mg/l
USGS-MD,USGS Maryland Water Science Center,Sample-Routine,Surface Water,8/8/2006,10:45:00,USGS-01646567,Not determined,Routine sample,,,Peristaltic pump,Bicarbonate,Dissolved,79,mg/l
USGS-MD,USGS Maryland Water Science Center,Sample-Routine,Surface Water,8/8/2006,10:45:00,USGS-01646567,Not determined,Routine sample,,,Peristaltic pump,Chloride,Dissolved,125,mg/l
USGS-MD,USGS Maryland Water Science Center,Sample-Routine,Surface Water,8/8/2006,10:45:00,USGS-01646567,Not determined,Routine sample,,,Peristaltic pump,Sulfate,Dissolved,52.7,mg/l
USGS-MD,USGS Maryland Water Science Center,Sample-Routine,Surface Water,8/8/2006,10:45:00,USGS-01646567,Not determined,Routine sample,,,Peristaltic pump,Fluoride,Dissolved,0.26,mg/l
USGS-MD,USGS Maryland Water Science Center,Sample-Routine,Surface Water,8/8/2006,10:45:00,USGS-01646567,Not determined,Routine sample,,,Peristaltic pump,Silica,Dissolved,19.1,mg/l
USGS-MD,USGS Maryland Water Science Center,Sample-Routine,Surface Water,8/8/2006,10:00:00,USGS-01646564,Not determined,Routine sample,,,Peristaltic pump,Oxygen,Dissolved,6.3,mg/l
USGS-MD,USGS Maryland Water Science Center,Sample-Routine,Surface Water,8/8/2006,10:00:00,USGS-01646564,Not determined,Routine sample,,,Peristaltic pump,Oxygen,Dissolved,75,% saturatn
USGS-MD,USGS Maryland Water Science Center,Sample-Routine,Surface Water,8/8/2006,10:00:00,USGS-01646564,Not determined,Routine sample,,,Peristaltic pump,Carbon dioxide,Total,5.8,mg/l
USGS-MD,USGS Maryland Water Science Center,Sample-Routine,Surface Water,8/8/2006,10:00:00,USGS-01646564,Not determined,Routine sample,,,Peristaltic pump,Bicarbonate,Dissolved,111,mg/l
USGS-MD,USGS Maryland Water Science Center,Sample-Routine,Surface Water,8/8/2006,10:00:00,USGS-01646564,Not determined,Routine sample,,,Peristaltic pump,Chloride,Dissolved,94,mg/l
USGS-MD,USGS Maryland Water Science Center,Sample-Routine,Surface Water,8/8/2006,10:00:00,USGS-01646564,Not determined,Routine sample,,,Peristaltic pump,Sulfate,Dissolved,46.9,mg/l
USGS-MD,USGS Maryland Water Science Center,Sample-Routine,Surface Water,8/8/2006,10:00:00,USGS-01646564,Not determined,Routine sample,,,Peristaltic pump,Fluoride,Dissolved,0.4,mg/l
USGS-MD,USGS Maryland Water Science Center,Sample-Routine,Surface Water,8/8/2006,10:00:00,USGS-01646564,Not determined,Routine sample,,,Peristaltic pump,Silica,Dissolved,20.5,mg/l
USGS-MD,USGS Maryland Water Science Center,Sample-Routine,Surface Water,11/15/2007,20:30:00,USGS-01649190,Falling stage,Storm,,,Other,Oxygen,Dissolved,11.5,mg/l
USGS-MD,USGS Maryland Water Science Center,Quality Control Sample-Field Replicate,Surface Water,12/16/2007,3:30:00,USGS-01649190,Peak stage,Storm,,,Other,Oxygen,Dissolved,13.4,mg/l
USGS-MD,USGS Maryland Water Science Center,Sample-Routine,Surface Water,11/15/2007,16:15:00,USGS-01649190,Falling stage,Storm,,,Other,Oxygen,Dissolved,11.4,mg/l
USGS-MD,USGS Maryland Water Science Center,Sample-Routine,Surface Water,10/26/2007,21:45:00,USGS-01649190,Falling stage,Storm,,,Other,Oxygen,Dissolved,10.3,mg/l
USGS-MD,USGS Maryland Water Science Center,Sample-Routine,Surface Water,12/3/2007,7:56:00,USGS-01649190,Falling stage,Storm,,,Other,Oxygen,Dissolved,12.8,mg/l
USGS-MD,USGS Maryland Water Science Center,Quality Control Sample-Field Replicate,Surface Water,11/20/2007,11:00:00,USGS-01649190,"Stable, normal stage",Routine sample,,,US DH-81 with Teflon cap and nozzle,Oxygen,Dissolved,11.9,mg/l
USGS-MD,USGS Maryland Water Science Center,Quality Control Sample-Field Replicate,Surface Water,11/20/2007,11:00:00,USGS-01649190,"Stable, normal stage",Routine sample,,,US DH-81 with Teflon cap and nozzle,Oxygen,Dissolved,101,% saturatn
USGS-MD,USGS Maryland Water Science Center,Sample-Routine,Surface Water,11/15/2007,9:00:00,USGS-01649190,Rising stage,Storm,,,Other,Oxygen,Dissolved,10.8,mg/l
USGS-MD,USGS Maryland Water Science Center,Sample-Routine,Surface Water,10/26/2007,15:30:00,USGS-01649190,Rising stage,Storm,,,Other,Oxygen,Dissolved,10.2,mg/l
USGS-MD,USGS Maryland Water Science Center,Sample-Routine,Surface Water,12/3/2007,2:35:00,USGS-01649190,Falling stage,Storm,,,Other,Oxygen,Dissolved,12.6,mg/l
USGS-MD,USGS Maryland Water Science Center,Sample-Routine,Surface Water,12/3/2007,0:26:00,USGS-01649190,Rising stage,Storm,,,Other,Oxygen,Dissolved,13.2,mg/l
USGS-MD,USGS Maryland Water Science Center,Sample-Routine,Surface Water,10/17/2007,9:30:00,USGS-01649190,"Stable, low stage",Routine sample,,,Grab sample,Oxygen,Dissolved,9.2,mg/l
USGS-MD,USGS Maryland Water Science Center,Sample-Routine,Surface Water,12/10/2007,12:05:00,USGS-01646568,Not determined,Routine sample,,,Peristaltic pump,Oxygen,Dissolved,7.1,mg/l
USGS-MD,USGS Maryland Water Science Center,Sample-Routine,Surface Water,12/10/2007,12:05:00,USGS-01646568,Not determined,Routine sample,,,Peristaltic pump,Carbon dioxide,Total,60,mg/l
USGS-MD,USGS Maryland Water Science Center,Sample-Routine,Surface Water,12/10/2007,12:05:00,USGS-01646568,Not determined,Routine sample,,,Peristaltic pump,Bicarbonate,Dissolved,93,mg/l
